YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,DEST_WAC,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,
2020,1,1,3,2020-01-01,AA,AA,N110AN,1,12478,31703,JFK,"New York, NY",NY,New York,22,12892,32575,LAX,"Los Angeles, CA",CA,California,91,730,730,0.00,27.00,757,1040,34.00,1103,1114,11.00,0.00,,0.00,393.00,404.00,343.00,1.00,2475.00,,,,,,,,,
2020,1,2,4,2020-01-02,AA,AA,N111ZM,1,12478,31703,JFK,"New York, NY",NY,New York,22,12892,32575,LAX,"Los Angeles, CA",CA,California,91,730,724,-6.00,21.00,745,1028,18.00,1103,1046,-17.00,0.00,,0.00,393.00,382.00,343.00,1.00,2475.00,,,,,,,,,
2020,1,3,5,2020-01-03,AA,AA,N108NN,1,12478,31703,JFK,"New York, NY",NY,New York,22,12892,32575,LAX,"Los Angeles, CA",CA,California,91,730,726,-4.00,18.00,744,1034,25.00,1103,1059,-4.00,0.00,,0.00,393.00,393.00,350.00,1.00,2475.00,,,,,,,,,
2020,1,4,6,2020-01-04,AA,AA,N102NN,1,12478,31703,JFK,"New York, NY",NY,New York,22,12892,32575,LAX,"Los Angeles, CA",CA,California,91,730,727,-3.00,31.00,758,1056,15.00,1103,1111,8.00,0.00,,0.00,393.00,404.00,358.00,1.00,2475.00,,,,,,,,,
2020,1,5,7,2020-01-05,AA,AA,N113AN,1,12478,31703,JFK,"New York, NY",NY,New York,22,12892,32575,LAX,"Los Angeles, CA",CA,California,91,730,726,-4.00,26.00,752,1055,9.00,1103,1104,1.00,0.00,,0.00,393.00,398.00,363.00,1.00,2475.00,,,,,,,,,
2020,1,6,1,2020-01-06,AA,AA,N103NN,1,12478,31703,JFK,"New York, NY",NY,New York,22,12892,32575,LAX,"Los Angeles, CA",CA,California,91,730,729,-1.00,35.00,804,1056,6.00,1103,1102,-1.00,0.00,,0.00,393.00,393.00,352.00,1.00,2475.00,,,,,,,,,
2020,1,7,2,2020-01-07,AA,AA,N113AN,1,12478,31703,JFK,"New York, NY",NY,New York,22,12892,32575,LAX,"Los Angeles, CA",CA,California,91,730,736,6.00,16.00,752,1038,9.00,1104,1047,-17.00,0.00,,0.00,394.00,371.00,346.00,1.00,2475.00,,,,,,,,,
2020,1,8,3,2020-01-08,AA,AA,N106NN,1,12478,31703,JFK,"New York, NY",NY,New York,22,12892,32575,LAX,"Los Angeles, CA",CA,California,91,730,728,-2.00,25.00,753,1049,9.00,1104,1058,-6.00,0.00,,0.00,394.00,390.00,356.00,1.00,2475.00,,,,,,,,,
2020,1,9,4,2020-01-09,AA,AA,N102NN,1,12478,31703,JFK,"New York, NY",NY,New York,22,12892,32575,LAX,"Los Angeles, CA",CA,California,91,730,744,14.00,32.00,816,1118,6.00,1104,1124,20.00,0.00,,0.00,394.00,400.00,362.00,1.00,2475.00,14.00,0.00,6.00,0.00,0.00,,,,
2020,1,10,5,2020-01-10,AA,AA,N117AN,1,12478,31703,JFK,"New York, NY",NY,New York,22,12892,32575,LAX,"Los Angeles, CA",CA,California,91,730,728,-2.00,27.00,755,1104,13.00,1104,1117,13.00,0.00,,0.00,394.00,409.00,369.00,1.00,2475.00,,,,,,,,,
